Circuit: * Z:\home\peter\repos\pwm-charge-controller\ltspice\pwm5.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 3.00045e-005 to 3.00056e-005
Heightened Def Con from 3.00056e-005 to 3.00076e-005
Heightened Def Con from 3.00079e-005 to 3.00089e-005
Heightened Def Con from 3.00131e-005 to 3.00151e-005
Heightened Def Con from 3.02172e-005 to 3.02174e-005
Heightened Def Con from 3.02183e-005 to 3.02186e-005
Heightened Def Con from 3.02188e-005 to 3.02189e-005
Heightened Def Con from 3.02189e-005 to 3.02201e-005
Heightened Def Con from 3.02203e-005 to 3.02223e-005
Heightened Def Con from 3.02375e-005 to 3.02395e-005
Heightened Def Con from 3.0943e-005 to 3.0943e-005
Heightened Def Con from 3.0943e-005 to 3.09441e-005
Heightened Def Con from 3.09442e-005 to 3.09462e-005
Heightened Def Con from 3.09522e-005 to 3.09523e-005
Heightened Def Con from 3.09523e-005 to 3.09543e-005
Heightened Def Con from 3.09841e-005 to 3.09861e-005
Heightened Def Con from 3.09861e-005 to 3.09871e-005
Heightened Def Con from 3.09966e-005 to 3.09977e-005
Heightened Def Con from 3.09977e-005 to 3.0998e-005
Heightened Def Con from 3.09987e-005 to 3.10007e-005
Heightened Def Con from 3.10308e-005 to 3.10308e-005
Heightened Def Con from 3.10308e-005 +to 3.10318e-005
Heightened Def Con from 3.12148e-005 to 3.12168e-005
Heightened Def Con from 3.13629e-005 to 3.13649e-005
Heightened Def Con from 3.13792e-005 to 3.13802e-005
Heightened Def Con from 3.13807e-005 to 3.13827e-005
Heightened Def Con from 3.13845e-005 to 3.13847e-005
Heightened Def Con from 3.13847e-005 to 3.13847e-005
Heightened Def Con from 3.13847e-005 to 3.13859e-005
Heightened Def Con from 3.13863e-005 to 3.13883e-005
Heightened Def Con from 3.13983e-005 to 3.13994e-005
Heightened Def Con from 3.13994e-005 to 3.13997e-005
Heightened Def Con from 3.13997e-005 to 3.14007e-005
Heightened Def Con from 3.14012e-005 to 3.14013e-005
Heightened Def Con from 3.14013e-005 to 3.14025e-005
Heightened Def Con from 3.14025e-005 to 3.14045e-005
Heightened Def Con from 3.14105e-005 to 3.14125e-005
Heightened Def Con from 3.1416e-005 to 3.1417e-005
Heightened Def Con from 3.1417e-005 to 3.1417e-005
Heightened Def Con from 3.1417e-005 to 3.14181e-005
Heightened Def Con from 3.14182e-005 to 3.14202e-005
Heightened Def Con from 3.14202e-005 to 3.14222e-005
Heightened Def Con from 3.14313e-005 to 3.14323e-005
